ROWID,Country,SourceYear,Academy,Entry,Number of Candidates under Induction,YearCode,Year
152,India,2014-15,Tech Entries,SSC(Tech),197,2014,"Financial Year (Apr - Mar), 2014"
153,India,2014-15,OTA,SSCW(NT),26,2014,"Financial Year (Apr - Mar), 2014"
154,India,2014-15,OTA,SSCW(Tech),39,2014,"Financial Year (Apr - Mar), 2014"
155,India,2014-15,Tech Entries,TGC,135,2014,"Financial Year (Apr - Mar), 2014"
156,India,2014-15,Tech Entries,UES,85,2014,"Financial Year (Apr - Mar), 2014"
157,India,2015-16,Tech Entries,10+2 TES,196,2015,"Financial Year (Apr - Mar), 2015"
158,India,2015-16,IMA,ACC,95,2015,"Financial Year (Apr - Mar), 2015"
159,India,2015-16,IMA,AEC,24,2015,"Financial Year (Apr - Mar), 2015"
160,India,2015-16,NDA,Air Force,163,2015,"Financial Year (Apr - Mar), 2015"
161,India,2015-16,NDA,Army,376,2015,"Financial Year (Apr - Mar), 2015"
162,India,2015-16,IMA,IMA(DE),207,2015,"Financial Year (Apr - Mar), 2015"
163,India,2015-16,OTA,JAG,20,2015,"Financial Year (Apr - Mar), 2015"
164,India,2015-16,OTA,JAGW,8,2015,"Financial Year (Apr - Mar), 2015"
165,India,2015-16,NDA,Navy,53,2015,"Financial Year (Apr - Mar), 2015"
166,India,2015-16,OTA,NCC,61,2015,"Financial Year (Apr - Mar), 2015"
167,India,2015-16,OTA,NCCW,8,2015,"Financial Year (Apr - Mar), 2015"
168,India,2015-16,IMA,PC(SL),35,2015,"Financial Year (Apr - Mar), 2015"
169,India,2015-16,IMA,SCO,108,2015,"Financial Year (Apr - Mar), 2015"
170,India,2015-16,OTA,SSC(NT),148,2015,"Financial Year (Apr - Mar), 2015"
171,India,2015-16,Tech Entries,SSC(Tech),188,2015,"Financial Year (Apr - Mar), 2015"
172,India,2015-16,OTA,SSCW(NT),26,2015,"Financial Year (Apr - Mar), 2015"
173,India,2015-16,OTA,SSCW(Tech),32,2015,"Financial Year (Apr - Mar), 2015"
174,India,2015-16,Tech Entries,TGC,138,2015,"Financial Year (Apr - Mar), 2015"
175,India,2015-16,Tech Entries,UES,75,2015,"Financial Year (Apr - Mar), 2015"
176,India,2017-18,Tech Entries,10+2 TES,178,2017,"Financial Year (Apr - Mar), 2017"
177,India,2017-18,IMA,ACC,107,2017,"Financial Year (Apr - Mar), 2017"
178,India,2017-18,IMA,AEC,14,2017,"Financial Year (Apr - Mar), 2017"
179,India,2017-18,NDA,Air Force,115,2017,"Financial Year (Apr - Mar), 2017"
180,India,2017-18,NDA,Army,417,2017,"Financial Year (Apr - Mar), 2017"
181,India,2017-18,IMA,IMA(DE),203,2017,"Financial Year (Apr - Mar), 2017"
182,India,2017-18,OTA,JAG,11,2017,"Financial Year (Apr - Mar), 2017"
183,India,2017-18,OTA,JAGW,12,2017,"Financial Year (Apr - Mar), 2017"
184,India,2017-18,NDA,Navy,97,2017,"Financial Year (Apr - Mar), 2017"
185,India,2017-18,OTA,NCC,75,2017,"Financial Year (Apr - Mar), 2017"
186,India,2017-18,OTA,NCCW,9,2017,"Financial Year (Apr - Mar), 2017"
187,India,2017-18,IMA,PC(SL),19,2017,"Financial Year (Apr - Mar), 2017"
188,India,2017-18,IMA,SCO,39,2017,"Financial Year (Apr - Mar), 2017"
189,India,2017-18,OTA,SSC(NT),135,2017,"Financial Year (Apr - Mar), 2017"
190,India,2017-18,Tech Entries,SSC(Tech),214,2017,"Financial Year (Apr - Mar), 2017"
191,India,2017-18,OTA,SSCW(NT),19,2017,"Financial Year (Apr - Mar), 2017"
192,India,2017-18,Tech Entries,SSCW(Tech),40,2017,"Financial Year (Apr - Mar), 2017"
193,India,2017-18,Tech Entries,TGC,69,2017,"Financial Year (Apr - Mar), 2017"
194,India,2018-19,Tech Entries,10+2 TES,207,2018,"Financial Year (Apr - Mar), 2018"
195,India,2018-19,IMA,ACC,132,2018,"Financial Year (Apr - Mar), 2018"
196,India,2018-19,IMA,AEC,7,2018,"Financial Year (Apr - Mar), 2018"
197,India,2018-19,NDA,Air Force,131,2018,"Financial Year (Apr - Mar), 2018"
198,India,2018-19,NDA,Army,622,2018,"Financial Year (Apr - Mar), 2018"
199,India,2018-19,IMA,IMA(DE),194,2018,"Financial Year (Apr - Mar), 2018"
200,India,2018-19,OTA,JAG,15,2018,"Financial Year (Apr - Mar), 2018"
201,India,2018-19,OTA,JAGW,11,2018,"Financial Year (Apr - Mar), 2018"
202,India,2018-19,NDA,Navy,130,2018,"Financial Year (Apr - Mar), 2018"
203,India,2018-19,OTA,NCC,64,2018,"Financial Year (Apr - Mar), 2018"
204,India,2018-19,OTA,NCCW,9,2018,"Financial Year (Apr - Mar), 2018"
205,India,2018-19,IMA,PC(SL),21,2018,"Financial Year (Apr - Mar), 2018"
206,India,2018-19,IMA,SCO,40,2018,"Financial Year (Apr - Mar), 2018"
207,India,2018-19,OTA,SSC(NT),111,2018,"Financial Year (Apr - Mar), 2018"
208,India,2018-19,Tech Entries,SSC(Tech),151,2018,"Financial Year (Apr - Mar), 2018"
209,India,2018-19,OTA,SSCW(NT),26,2018,"Financial Year (Apr - Mar), 2018"
210,India,2018-19,Tech Entries,SSCW(Tech),29,2018,"Financial Year (Apr - Mar), 2018"
211,India,2018-19,Tech Entries,TGC,87,2018,"Financial Year (Apr - Mar), 2018"
212,India,2018-19,Tech Entries,UES,18,2018,"Financial Year (Apr - Mar), 2018"
